step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
58,3,1.182555816e-06,1,3.512604147e-06,1.442622201
59,3,1.20934776e-06,1,3.515457249e-06,1.444838409
60,3,1.23656878e-06,1,3.518336057e-06,1.447058021
61,3,1.264226289e-06,1,3.521240504e-06,1.449281043
62,3,1.292326587e-06,1,3.524170526e-06,1.45150748
63,3,1.320877693e-06,1,3.527126059e-06,1.453737337
64,3,1.349886494e-06,1,3.530107042e-06,1.45597062
65,3,1.379358731e-06,1,3.533113414e-06,1.458207334
66,3,1.409301699e-06,1,3.536145116e-06,1.460447484
67,3,1.439722011e-06,1,3.539202091e-06,1.462691075
68,3,1.470626304e-06,1,3.54228428e-06,1.464938113
69,3,1.502021858e-06,1,3.545391629e-06,1.467188603
70,3,1.533915496e-06,1,3.548524082e-06,1.46944255
71,3,1.566314217e-06,1,3.551681585e-06,1.47169996
72,3,1.599225258e-06,1,3.554864083e-06,1.473960838
73,3,1.632655526e-06,1,3.558071524e-06,1.476225189
74,3,1.666612167e-06,1,3.561303856e-06,1.478493019
75,3,1.70110253e-06,1,3.564561027e-06,1.480764332
76,3,1.736133762e-06,1,3.567842986e-06,1.483039135
77,3,1.771713212e-06,1,3.571149681e-06,1.485317432
78,3,1.80785014e-06,1,3.574481062e-06,1.48759923
79,3,1.844550186e-06,1,3.57783708e-06,1.489884533
80,3,1.881820872e-06,1,3.581217685e-06,1.492173346
81,3,1.919670362e-06,1,3.584622828e-06,1.494465676
82,3,1.958105913e-06,1,3.58805246e-06,1.496761527
83,3,1.997135295e-06,1,3.591506532e-06,1.499060905
84,3,2.036766411e-06,1,3.594984997e-06,1.501363816
85,3,2.077007215e-06,1,3.598487806e-06,1.503670264
86,3,2.117865749e-06,1,3.602014912e-06,1.505980256
87,3,2.159350153e-06,1,3.605566267e-06,1.508293796
88,3,2.201468665e-06,1,3.609141825e-06,1.510610891
89,3,2.2442296e-06,1,3.612741537e-06,1.512931545
90,3,2.287641359e-06,1,3.616365358e-06,1.515255764
91,3,2.331712488e-06,1,3.620013241e-06,1.517583554
92,3,2.376451569e-06,1,3.623685138e-06,1.51991492
93,3,2.421867269e-06,1,3.627381006e-06,1.522249867
94,3,2.46796798e-06,1,3.631100796e-06,1.524588401
95,3,2.514762452e-06,1,3.634844463e-06,1.526930528
96,3,2.562259991e-06,1,3.638611961e-06,1.529276253
97,3,2.610469867e-06,1,3.642403246e-06,1.531625582
98,3,2.659401399e-06,1,3.64621827e-06,1.533978519
99,3,2.709066883e-06,1,3.650056989e-06,1.536335072
100,3,2.759472561e-06,1,3.653919357e-06,1.538695244
101,3,2.810626492e-06,1,3.657805329e-06,1.541059043
102,3,2.862539337e-06,1,3.661714861e-06,1.543426472
103,3,2.915220679e-06,1,3.665647907e-06,1.545797539
104,3,2.968679919e-06,1,3.669604421e-06,1.548172248
105,3,3.022926806e-06,1,3.673584353e-06,1.550550605
