x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
4.702082505459e-01,-1.692853867649e-01,-9.408807689542e-01,3.387379202453e-01,7.153258055588e+01,2.080182546106e-01,0.000000000000e+00,9.996791319942e-01,1.195061862281e-01,3.319412019523e-01,3.524852265126e-02,WALL,1.256654128553e-01,3.297237439206e-01,3.525459006473e-02,0.000000000000e+00
4.799099193559e-01,-1.394267203850e-01,-9.602936856769e-01,2.789911060392e-01,7.152112468360e+01,1.851065100524e-01,0.000000000000e+00,9.994962887615e-01,8.120412193007e-02,2.795064210019e-01,2.908018221846e-02,WALL,8.767148088838e-02,2.776274795324e-01,2.908796579794e-02,0.000000000000e+00
4.877176029643e-01,-1.090178004376e-01,-9.759167619387e-01,2.181432413965e-01,7.149099753308e+01,1.248522090232e-01,0.000000000000e+00,9.991387437714e-01,4.882988990652e-02,2.184523698205e-01,2.236491164405e-02,WALL,5.565872503144e-02,2.169259443227e-01,2.237583637792e-02,0.000000000000e+00
4.936004880108e-01,-7.817863703751e-02,-9.876883405951e-01,1.564344650402e-01,7.161647034612e+01,3.757978350962e-01,0.000000000000e+00,1.000379153010e+00,2.601194715348e-02,1.642329707399e-01,1.660933573492e-02,WALL,3.213453924396e-02,1.632632474183e-01,1.662087349242e-02,0.000000000000e+00
4.975353574357e-01,-4.703093827340e-02,-9.955619646031e-01,9.410831331852e-02,7.150269348646e+01,1.482441157722e-01,0.000000000000e+00,9.991953983187e-01,1.049001539731e-02,1.109727713673e-01,1.113648482960e-02,WALL,1.735197302568e-02,1.103241253951e-01,1.115775479557e-02,0.000000000000e+00
4.995066821071e-01,-1.569762988233e-02,-9.995065603657e-01,3.141075907813e-02,7.145113553550e+01,4.512821386245e-02,0.000000000000e+00,9.986568761125e-01,1.296570652709e-03,4.125754713972e-02,4.124367143588e-03,WALL,8.491246449072e-03,4.103144534405e-02,4.186608390046e-03,0.000000000000e+00
4.995066821071e-01,1.569762988233e-02,-9.995065603657e-01,-3.141075907813e-02,7.143996793220e+01,2.279300726624e-02,0.000000000000e+00,9.985437572124e-01,1.071736888105e-03,-3.410322074619e-02,3.409248470264e-03,WALL,8.323415004552e-03,-3.387532758044e-02,3.485471623993e-03,0.000000000000e+00
4.975353574357e-01,4.703093827340e-02,-9.955619646031e-01,-9.410831331851e-02,7.145852323274e+01,5.990360832797e-02,0.000000000000e+00,9.987450942352e-01,1.025684193017e-02,-1.085060537433e-01,1.088985171703e-02,WALL,1.737311073255e-02,-1.078333682873e-01,1.091324668571e-02,0.000000000000e+00
4.936004880108e-01,7.817863703751e-02,-9.876883405951e-01,-1.564344650402e-01,7.151219851962e+01,1.672541821028e-01,0.000000000000e+00,9.993171024114e-01,2.786277997892e-02,-1.759186692949e-01,1.779465536900e-02,WALL,3.459426219441e-02,-1.748525072517e-01,1.780767798526e-02,0.000000000000e+00
4.877176029643e-01,1.090178004376e-01,-9.759167619387e-01,-2.181432413965e-01,7.159940372772e+01,3.416645983044e-01,0.000000000000e+00,1.000242729576e+00,5.112602613569e-02,-2.287246928106e-01,2.341177042039e-02,WALL,5.723161942109e-02,-2.273599310175e-01,2.342011023797e-02,0.000000000000e+00
4.799099193559e-01,1.394267203850e-01,-9.602936856769e-01,-2.789911060392e-01,7.152823472894e+01,1.993266007316e-01,0.000000000000e+00,9.995707951206e-01,8.070897652034e-02,-2.778021193229e-01,2.890250529062e-02,WALL,8.708614065575e-02,-2.759493818717e-01,2.891011963248e-02,0.000000000000e+00
4.702082505459e-01,1.692853867649e-01,-9.408807689542e-01,-3.387379202453e-01,7.151686654245e+01,1.765902277647e-01,0.000000000000e+00,9.995208776635e-01,1.186729074501e-01,-3.296266811076e-01,3.500382016880e-02,WALL,1.248445800196e-01,-3.274047422609e-01,3.500995508211e-02,0.000000000000e+00
