step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
1035,10.35,33,9.892219237e-05,1,4.103746889e-05,4.059516391e-09
1036,10.36,33,9.882198323e-05,1,4.101312334e-05,4.052998187e-09
1037,10.37,33,9.87211964e-05,1,4.098885138e-05,4.046468448e-09
1038,10.38,33,9.861992879e-05,1,4.096465271e-05,4.039931133e-09
1039,10.39,33,9.851825641e-05,1,4.094052715e-05,4.033389352e-09
1040,10.4,33,9.841624764e-05,1,4.091647456e-05,4.026845893e-09
1041,10.41,33,9.831395817e-05,1,4.089249512e-05,4.020303055e-09
1042,10.42,33,9.821143502e-05,1,4.086858893e-05,4.013762766e-09
1043,10.43,33,9.810872204e-05,1,4.084475548e-05,4.007226762e-09
1044,10.44,33,9.800585285e-05,1,4.082099461e-05,4.000696391e-09
1045,10.45,33,9.790285961e-05,1,4.079730627e-05,3.994172948e-09
1046,10.46,33,9.779977065e-05,1,4.077369037e-05,3.987657566e-09
1047,10.47,33,9.769660908e-05,1,4.075014686e-05,3.981151168e-09
1048,10.48,33,9.759339693e-05,1,4.072667569e-05,3.974654626e-09
1049,10.49,33,9.749014977e-05,1,4.070327678e-05,3.96816855e-09
1050,10.5,33,9.738688877e-05,1,4.067995007e-05,3.961693772e-09
1051,10.51,33,9.72836266e-05,1,4.065669537e-05,3.955230771e-09
1052,10.52,33,9.718038146e-05,1,4.06335126e-05,3.948780255e-09
1053,10.53,33,9.707714375e-05,1,4.061040166e-05,3.9423418e-09
1054,10.54,33,9.697393459e-05,1,4.05873623e-05,3.935916217e-09
1055,10.55,33,9.687076963e-05,1,4.056439437e-05,3.929504102e-09
1056,10.56,33,9.676766038e-05,1,4.054149774e-05,3.923105885e-09
1057,10.57,33,9.666461623e-05,1,4.051867298e-05,3.916721974e-09
1058,10.58,33,9.656164752e-05,1,4.049591935e-05,3.91035269e-09
1059,10.59,33,9.645876051e-05,1,4.047323671e-05,3.903998247e-09
1060,10.6,33,9.635596066e-05,1,4.0450625e-05,3.897658831e-09
1061,10.61,33,9.625325285e-05,1,4.042808407e-05,3.891334599e-09
1062,10.62,33,9.615064213e-05,1,4.040561385e-05,3.885025717e-09
1063,10.63,33,9.604812964e-05,1,4.038321675e-05,3.878732437e-09
1064,10.64,33,9.594571754e-05,1,4.036089316e-05,3.872454854e-09
1065,10.65,33,9.584341815e-05,1,4.03386405e-05,3.866193189e-09
1066,10.66,33,9.574123222e-05,1,4.031645989e-05,3.859947548e-09
1067,10.67,33,9.563916741e-05,1,4.029434966e-05,3.853718053e-09
1068,10.68,33,9.553722761e-05,1,4.027230949e-05,3.847504799e-09
1069,10.69,33,9.543542085e-05,1,4.025033911e-05,3.841308053e-09
1070,10.7,33,9.533374967e-05,1,4.022843838e-05,3.835127874e-09
1071,10.71,33,9.523221519e-05,1,4.02066071e-05,3.82896426e-09
1072,10.72,33,9.513081741e-05,1,4.018484568e-05,3.822817216e-09
1073,10.73,33,9.502956212e-05,1,4.016315387e-05,3.816686926e-09
1074,10.74,33,9.492844972e-05,1,4.014153139e-05,3.810573344e-09
1075,10.75,33,9.482748495e-05,1,4.011997807e-05,3.804476617e-09
1076,10.76,32,9.99200682e-05,1,4.009849372e-05,4.006644227e-09
1077,10.77,32,9.996837923e-05,1,4.007707816e-05,4.006440547e-09
1078,10.78,33,9.483296674e-05,1,4.005573048e-05,3.798603756e-09
1079,10.79,32,9.989001135e-05,1,4.003445108e-05,3.999041773e-09
1080,10.8,32,9.985103579e-05,1,4.001323987e-05,3.995363446e-09
1081,10.81,32,9.9857783e-05,1,3.999209675e-05,3.993522119e-09
1082,10.82,32,9.983381713e-05,1,3.997102154e-05,3.990459655e-09
1083,10.83,32,9.978723789e-05,1,3.995001408e-05,3.986501559e-09
1084,10.84,32,9.972615995e-05,1,3.992907423e-05,3.981973243e-09
1085,10.85,32,9.965565733e-05,1,3.990820238e-05,3.977078141e-09
1086,10.86,32,9.957877504e-05,1,3.988740118e-05,3.971938549e-09
1087,10.87,32,9.949739715e-05,1,3.986666831e-05,3.966629729e-09
1088,10.88,32,9.941273275e-05,1,3.984600322e-05,3.961200069e-09
1089,10.89,32,9.932559661e-05,1,3.982540503e-05,3.955682115e-09
1090,10.9,32,9.923655712e-05,1,3.980487299e-05,3.950098552e-09
1091,10.91,32,9.914602771e-05,1,3.978440711e-05,3.94446593e-09
1092,10.92,32,9.905430476e-05,1,3.976401014e-05,3.938796379e-09
1093,10.93,32,9.896162999e-05,1,3.974367932e-05,3.933099287e-09
1094,10.94,32,9.886817645e-05,1,3.972341429e-05,3.927381533e-09
1095,10.95,32,9.877409507e-05,1,3.970321485e-05,3.921649118e-09
1096,10.96,32,9.867950638e-05,1,3.968308081e-05,3.915906826e-09
1097,10.97,32,9.858450884e-05,1,3.966301208e-05,3.910158565e-09
1098,10.98,32,9.848918409e-05,1,3.964300878e-05,3.90440759e-09
1099,10.99,32,9.839360192e-05,1,3.962307174e-05,3.898656748e-09
1100,11,32,9.829782194e-05,1,3.960319907e-05,3.89290821e-09
1101,11.01,32,9.820188826e-05,1,3.958339093e-05,3.887163733e-09
1102,11.02,32,9.810584237e-05,1,3.956364761e-05,3.881424976e-09
1103,11.03,32,9.800971788e-05,1,3.954397038e-05,3.875693381e-09
1104,11.04,32,9.791355081e-05,1,3.95243572e-05,3.869970157e-09
1105,11.05,32,9.781737368e-05,1,3.950480763e-05,3.86425653e-09
1106,11.06,32,9.772120804e-05,1,3.948532211e-05,3.858553377e-09
1107,11.07,32,9.762508045e-05,1,3.946589989e-05,3.852861652e-09
1108,11.08,32,9.752901507e-05,1,3.944654041e-05,3.847182234e-09
1109,11.09,32,9.743302573e-05,1,3.942724555e-05,3.84151583e-09
1110,11.1,32,9.733713033e-05,1,3.94080149e-05,3.835863082e-09
1111,11.11,32,9.724134811e-05,1,3.938884637e-05,3.830224521e-09
1112,11.12,32,9.714569122e-05,1,3.936973956e-05,3.824600563e-09
1113,11.13,32,9.705017365e-05,1,3.9350694e-05,3.818991686e-09
1114,11.14,32,9.69548041e-05,1,3.933170943e-05,3.813398183e-09
1115,11.15,32,9.685959018e-05,1,3.931278575e-05,3.807820317e-09
1116,11.16,32,9.676453815e-05,1,3.929392375e-05,3.802258383e-09
1117,11.17,32,9.666965379e-05,1,3.92751231e-05,3.796712552e-09
1118,11.18,32,9.657494487e-05,1,3.925638346e-05,3.791183069e-09
1119,11.19,32,9.64804108e-05,1,3.923770437e-05,3.785669837e-09
1120,11.2,32,9.638606276e-05,1,3.921908599e-05,3.780173284e-09
1121,11.21,32,9.629190026e-05,1,3.920052731e-05,3.774693266e-09
1122,11.22,32,9.61979336e-05,1,3.918202755e-05,3.769230084e-09
1123,11.23,32,9.610417191e-05,1,3.916358639e-05,3.763784039e-09
1124,11.24,32,9.601062751e-05,1,3.914520385e-05,3.758355586e-09
1125,11.25,32,9.591731631e-05,1,3.912687833e-05,3.752945164e-09
1126,11.26,32,9.582424052e-05,1,3.910861086e-05,3.747552934e-09
1127,11.27,32,9.573140864e-05,1,3.909040125e-05,3.742179176e-09
1128,11.28,32,9.563882453e-05,1,3.907224931e-05,3.736823995e-09
1129,11.29,32,9.554649123e-05,1,3.905415481e-05,3.731487461e-09
1130,11.3,32,9.54544134e-05,1,3.903611754e-05,3.726169701e-09
1131,11.31,32,9.536259178e-05,1,3.901813724e-05,3.720870693e-09
1132,11.32,32,9.527103359e-05,1,3.90002126e-05,3.715590565e-09
1133,11.33,32,9.517974154e-05,1,3.898234312e-05,3.710329342e-09
1134,11.34,32,9.508871415e-05,1,3.896453052e-05,3.705087105e-09
1135,11.35,32,9.499795383e-05,1,3.8946774e-05,3.699863839e-09
1136,11.36,32,9.490746309e-05,1,3.892907332e-05,3.694659589e-09
1137,11.37,32,9.481724587e-05,1,3.89114282e-05,3.689474455e-09
1138,11.38,31,9.990879966e-05,1,3.889383838e-05,3.885836707e-09
1139,11.39,31,9.997653718e-05,1,3.887630361e-05,3.886718213e-09
1140,11.4,32,9.487202832e-05,1,3.885882366e-05,3.686615419e-09
1141,11.41,31,9.993036055e-05,1,3.884139831e-05,3.881434938e-09
1142,11.42,31,9.990713808e-05,1,3.882402726e-05,3.878797452e-09
1143,11.43,31,9.99324794e-05,1,3.880670985e-05,3.878050732e-09
1144,11.44,31,9.992577917e-05,1,3.878944605e-05,3.87606562e-09
1145,11.45,31,9.989544898e-05,1,3.877223587e-05,3.87316991e-09
1146,11.46,31,9.984994026e-05,1,3.875507913e-05,3.869692336e-09
1147,11.47,31,9.979455736e-05,1,3.873797747e-05,3.865839314e-09
1148,11.48,31,9.973250657e-05,1,3.87209295e-05,3.861735356e-09
1149,11.49,31,9.966576717e-05,1,3.870393536e-05,3.85745741e-09
1150,11.5,31,9.959561717e-05,1,3.868699381e-05,3.853055025e-09
1151,11.51,31,9.952291843e-05,1,3.867010456e-05,3.848561661e-09
1152,11.52,31,9.944827384e-05,1,3.865326743e-05,3.844000724e-09
1153,11.53,31,9.93721206e-05,1,3.863648227e-05,3.839389176e-09
1154,11.54,31,9.929478699e-05,1,3.861974892e-05,3.834739742e-09
1155,11.55,31,9.921652033e-05,1,3.86030672e-05,3.830062002e-09
1156,11.56,31,9.913751993e-05,1,3.8586437e-05,3.825363667e-09
1157,11.57,31,9.905793209e-05,1,3.856985817e-05,3.820650391e-09
1158,11.58,31,9.897788012e-05,1,3.855333198e-05,3.815927071e-09
1159,11.59,31,9.889747058e-05,1,3.853685832e-05,3.811197812e-09
1160,11.6,31,9.88167885e-05,1,3.852043618e-05,3.806465795e-09
1161,11.61,31,9.873590258e-05,1,3.85040657e-05,3.801733679e-09
1162,11.62,31,9.865486657e-05,1,3.848774941e-05,3.797003783e-09
1163,11.63,31,9.857373921e-05,1,3.847148421e-05,3.792278052e-09
1164,11.64,31,9.849256052e-05,1,3.845527139e-05,3.787558144e-09
1165,11.65,31,9.841136689e-05,1,3.843911059e-05,3.782845416e-09
1166,11.66,31,9.833018912e-05,1,3.842300114e-05,3.778140969e-09
1167,11.67,31,9.824905978e-05,1,3.840694179e-05,3.77344592e-09
1168,11.68,31,9.816800339e-05,1,3.839093225e-05,3.768761167e-09
1169,11.69,31,9.808703964e-05,1,3.837497264e-05,3.764087463e-09
1170,11.7,31,9.800618243e-05,1,3.835906496e-05,3.759425518e-09
1171,11.71,31,9.792544888e-05,1,3.83432082e-05,3.754775875e-09
1172,11.72,31,9.784485469e-05,1,3.832740164e-05,3.750139044e-09
1173,11.73,31,9.776441211e-05,1,3.831164512e-05,3.745515462e-09
