x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
9.279584891946e-01,1.093767274020e-02,-1.277744406420e-01,-9.918032528272e-01,3.179160001719e+01,9.113654230770e-02,0.000000000000e+00,1.000993025038e+00,9.803503725157e-01,-1.262989611339e-01,1.482351184750e-01,bc-4,9.799441910631e-01,-1.264898006597e-01,1.481780171698e-01,0.000000000000e+00
9.237831118041e-01,1.147355947120e-02,-1.268361886530e-01,-9.919236771284e-01,3.178825442129e+01,8.444535051837e-02,0.000000000000e+00,1.000916871427e+00,9.807948536320e-01,-1.254131582435e-01,1.482864841754e-01,bc-4,9.804382057010e-01,-1.256098065407e-01,1.482368830542e-01,0.000000000000e+00
9.195631718231e-01,1.201215863585e-02,-1.263736060082e-01,-9.919827174424e-01,3.178356501784e+01,7.506654362608e-02,0.000000000000e+00,1.000817584856e+00,9.809107251910e-01,-1.249630899156e-01,1.482987597504e-01,bc-4,9.808546873050e-01,-1.252088754178e-01,1.482945056597e-01,0.000000000000e+00
9.152161175198e-01,1.256463404162e-02,-1.257987220057e-01,-9.920557854989e-01,3.178091995758e+01,6.977642309169e-02,0.000000000000e+00,1.000741680152e+00,9.808130951711e-01,-1.243730803272e-01,1.482736250384e-01,bc-4,9.804897125336e-01,-1.245423694879e-01,1.482285184498e-01,0.000000000000e+00
9.105056603431e-01,1.315982284769e-02,-1.249593541173e-01,-9.921618617033e-01,3.177538722006e+01,5.871094804863e-02,0.000000000000e+00,1.000621103768e+00,9.808373551149e-01,-1.235330716894e-01,1.482654138251e-01,bc-4,9.804984488125e-01,-1.237028275892e-01,1.482178977573e-01,0.000000000000e+00
9.055592826165e-01,1.378142684253e-02,-1.244162306182e-01,-9.922301152247e-01,3.177234575139e+01,5.262801071910e-02,0.000000000000e+00,1.000557888629e+00,9.813170775012e-01,-1.230478393577e-01,1.483301394304e-01,bc-4,9.808762425451e-01,-1.231761581847e-01,1.482667494790e-01,0.000000000000e+00
9.006129576950e-01,1.439967295463e-02,-1.236356057278e-01,-9.923276862994e-01,3.176938334608e+01,4.670320009025e-02,0.000000000000e+00,1.000491449128e+00,9.819101938950e-01,-1.223376746096e-01,1.484071894603e-01,bc-4,9.814898747740e-01,-1.224633410075e-01,1.483468355304e-01,0.000000000000e+00
8.953242052077e-01,1.505629038876e-02,-1.228316248894e-01,-9.924275247730e-01,3.176496763893e+01,3.787178578863e-02,0.000000000000e+00,1.000397370937e+00,9.821645921639e-01,-1.215613934045e-01,1.484340430661e-01,bc-4,9.821198415494e-01,-1.217543714878e-01,1.484304832989e-01,0.000000000000e+00
8.896287438912e-01,1.575920017361e-02,-1.221489979903e-01,-9.925117743835e-01,3.176113921722e+01,3.021494238108e-02,0.000000000000e+00,1.000304307466e+00,9.822251941992e-01,-1.208830226188e-01,1.484326421048e-01,bc-4,9.819084752526e-01,-1.210059410490e-01,1.483875801505e-01,0.000000000000e+00
8.838687475657e-01,1.646577485857e-02,-1.213642405642e-01,-9.926080400200e-01,3.175751798413e+01,2.297247619992e-02,0.000000000000e+00,1.000223067848e+00,9.825772537468e-01,-1.201377959766e-01,1.484738795362e-01,bc-4,9.822712278423e-01,-1.202504953433e-01,1.484303029524e-01,0.000000000000e+00
8.779592239335e-01,1.718523529668e-02,-1.203679838989e-01,-9.927293429994e-01,3.175377475473e+01,1.548601740169e-02,0.000000000000e+00,1.000141505700e+00,9.829740546769e-01,-1.191851596014e-01,1.485183869263e-01,bc-4,9.826992238520e-01,-1.192930422684e-01,1.484792907424e-01,0.000000000000e+00
8.716021054401e-01,1.795341202878e-02,-1.195972969376e-01,-9.928224849213e-01,3.174950159049e+01,6.939688917171e-03,0.000000000000e+00,1.000042785412e+00,9.832192530911e-01,-1.184404732494e-01,1.485441614880e-01,bc-4,9.830264306899e-01,-1.185499563200e-01,1.485174254520e-01,0.000000000000e+00
8.649463006811e-01,1.875253981624e-02,-1.188199614761e-01,-9.929158155427e-01,3.174567743791e+01,-7.086162343839e-04,0.000000000000e+00,9.999570957453e-01,9.835489782777e-01,-1.176990535144e-01,1.485825915827e-01,bc-4,9.832565107640e-01,-1.177908537939e-01,1.485405828494e-01,0.000000000000e+00
8.582895412473e-01,1.954557636869e-02,-1.177720668787e-01,-9.930406538824e-01,3.174273481547e+01,-6.593861128621e-03,0.000000000000e+00,9.998927501066e-01,9.839844048721e-01,-1.166980190439e-01,1.486317901124e-01,bc-4,9.836875469173e-01,-1.167813660767e-01,1.485889779131e-01,0.000000000000e+00
8.512344044623e-01,2.037846027628e-02,-1.167635316769e-01,-9.931597442861e-01,3.173887429018e+01,-1.431491171292e-02,0.000000000000e+00,9.998062963087e-01,9.843145530216e-01,-1.157236226629e-01,1.486664443129e-01,bc-4,9.841344450862e-01,-1.158149834509e-01,1.486412269871e-01,0.000000000000e+00
8.436962748259e-01,2.126108933502e-02,-1.158351499945e-01,-9.932684521446e-01,3.173499351910e+01,-2.207645385678e-02,0.000000000000e+00,9.997176514145e-01,9.844482935974e-01,-1.148065414788e-01,1.486728696136e-01,bc-4,9.843572463809e-01,-1.149002889716e-01,1.486609432076e-01,0.000000000000e+00
8.360722618922e-01,2.214645908542e-02,-1.148726073819e-01,-9.933802313683e-01,3.173185231077e+01,-2.835887051967e-02,0.000000000000e+00,9.996471654436e-01,9.846503731971e-01,-1.138631031271e-01,1.486887725041e-01,bc-4,9.844445824355e-01,-1.139349616838e-01,1.486593023366e-01,0.000000000000e+00
