step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
79,3,0.0001115004598,1,4.309089855e-07,0.1900743481
80,3,0.0001114496748,1,4.317386323e-07,0.1905125147
81,3,0.0001114510615,1,4.325799715e-07,0.1909516914
82,3,0.000111458139,1,4.334328832e-07,0.1913918805
83,3,0.0001114603569,1,4.342974214e-07,0.1918330844
84,3,0.0001114246941,1,4.351740604e-07,0.1922753053
85,3,0.0001112948392,1,4.360629713e-07,0.1927185457
86,3,0.0001110777317,1,4.369640502e-07,0.1931628078
87,3,0.0001107733907,1,4.378770555e-07,0.1936080941
88,3,0.0001104479005,1,4.388017499e-07,0.1940544068
89,3,0.0001101684822,1,4.397380053e-07,0.1945017484
90,3,0.0001099675123,1,4.406858644e-07,0.1949501213
91,3,0.0001098323203,1,4.416458847e-07,0.1953995277
92,3,0.0001097731595,1,4.426182391e-07,0.1958499701
93,3,0.0001098260778,1,4.43602739e-07,0.1963014509
94,3,0.0001099980493,1,4.445992685e-07,0.1967539725
95,3,0.0001103184199,1,4.456078257e-07,0.1972075373
96,3,0.0001107922174,1,4.46595409e-07,0.1976621476
97,3,0.0001113782746,1,4.475587417e-07,0.1981178059
98,3,0.0001121221028,1,4.485162529e-07,0.1985745146
99,3,0.0001130048479,1,4.494721173e-07,0.1990322761
100,3,0.0001140335603,1,4.504403342e-07,0.1994910929
101,3,0.0001151115077,1,4.51421087e-07,0.1999509674
102,3,0.000116250832,1,4.524144119e-07,0.200411902
103,3,0.0001175078558,1,4.534203409e-07,0.2008738991
104,3,0.0001188376767,1,4.544388612e-07,0.2013369613
