x,y,nx,ny,pressure,cp,cf,rho,u,v,mach,tag,cell_center_u,cell_center_v,cell_center_mach,tangential_wall_shear
-1.394267203850e-01,-4.799099193559e-01,2.789911060392e-01,9.602936856769e-01,7.103916085359e+01,-7.788211499575e-01,-6.738158424499e-01,9.930215489542e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,6.493105640729e-03,-1.865829721472e-03,6.750681734418e-04,-3.369079212249e-01
-1.090178004376e-01,-4.877176029643e-01,2.181432413965e-01,9.759167619387e-01,7.100666433336e+01,-8.438141904251e-01,-6.344474544903e-01,9.925846795732e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,6.210965774135e-03,-1.373725382935e-03,6.356243738721e-04,-3.172237272451e-01
-7.817863703751e-02,-4.936004880108e-01,1.564344650402e-01,9.876883405951e-01,7.098016144458e+01,-8.968199679832e-01,-5.911361360673e-01,9.922269145814e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,5.855050358912e-03,-9.194186082434e-04,5.922339637154e-04,-2.955680680336e-01
-4.703093827340e-02,-4.975353574357e-01,9.410831331851e-02,9.955619646031e-01,7.095957207953e+01,-9.379986980776e-01,-5.449428656790e-01,9.919476357015e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,5.439568109999e-03,-5.125585627234e-04,5.459575965772e-04,-2.724714328395e-01
-1.569762988233e-02,-4.995066821071e-01,3.141075907813e-02,9.995065603657e-01,7.094452249022e+01,-9.680978766992e-01,-4.968942538710e-01,9.917421644488e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,4.979370412908e-03,-1.602800648889e-04,4.978234509700e-04,-2.484471269355e-01
1.569762988233e-02,-4.995066821071e-01,-3.141075907813e-02,9.995065603657e-01,7.093453058755e+01,-9.880816820390e-01,-4.479031120417e-01,9.916044856159e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,4.488833339770e-03,1.332450359711e-04,4.487466250289e-04,-2.239515560208e-01
4.703093827340e-02,-4.975353574357e-01,-9.410831331851e-02,9.955619646031e-01,7.092905618913e+01,-9.990304788915e-01,-3.988144304539e-01,9.915278267455e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,3.981850197026e-03,3.666803502889e-04,3.995719690978e-04,-1.994072152269e-01
7.817863703751e-02,-4.936004880108e-01,-1.564344650402e-01,9.876883405951e-01,7.092764881174e+01,-1.001845233655e+00,-3.502984489352e-01,9.915066944248e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,3.470555331972e-03,5.398429676835e-04,3.509671676267e-04,-1.751492244676e-01
1.090178004376e-01,-4.877176029643e-01,-2.181432413965e-01,9.759167619387e-01,7.092992993207e+01,-9.972829930065e-01,-3.031659687637e-01,9.915362777539e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,2.968662636926e-03,6.535128553805e-04,3.037472961557e-04,-1.515829843819e-01
1.394267203850e-01,-4.799099193559e-01,-2.789911060392e-01,9.602936856769e-01,7.093532055936e+01,-9.865017384246e-01,-2.580312663916e-01,9.916096245173e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,2.486932844481e-03,7.133822779972e-04,2.585293429937e-04,-1.290156331958e-01
1.692853867649e-01,-4.702082505459e-01,-3.387379202453e-01,9.408807689542e-01,7.094335846101e+01,-9.704259351129e-01,-2.153503836825e-01,9.917208576334e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,2.034111921588e-03,7.245254585232e-04,2.157677568426e-04,-1.076751918412e-01
1.984759610624e-01,-4.586508845886e-01,-3.971478906348e-01,9.177546256840e-01,7.095358663518e+01,-9.499695867785e-01,-1.755092657456e-01,9.918641634931e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,1.617482180786e-03,6.933333090636e-04,1.758501353802e-04,-8.775463287281e-02
2.268832414167e-01,-4.452834331275e-01,-4.539904997395e-01,8.910065241884e-01,7.096554590857e+01,-9.260510399941e-01,-1.387766266245e-01,9.920335176970e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,1.242209481997e-03,6.270764212512e-04,1.390473634881e-04,-6.938831331224e-02
2.543951172702e-01,-4.301586513865e-01,-5.090414157504e-01,8.607420270039e-01,7.097882593467e+01,-8.994909878031e-01,-1.054223120435e-01,9.922234032920e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,9.121065308990e-04,5.342988760944e-04,1.056290320698e-04,-5.271115602174e-02
2.809030118179e-01,-4.133362299692e-01,-5.620833778521e-01,8.270805742746e-01,7.099286135764e+01,-8.714201418576e-01,-7.560044885039e-02,9.924260144524e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,6.293032199644e-04,4.226494546798e-04,7.574977585038e-05,-3.780022442520e-02
3.063023105103e-01,-3.948825592877e-01,-6.129070536530e-01,7.901550123757e-01,7.100731622898e+01,-8.425103991885e-01,-4.926550603176e-02,9.926365487611e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,3.927977307555e-04,2.996007062610e-04,4.936504541653e-05,-2.463275301588e-02
3.304927739193e-01,-3.748704675493e-01,-6.613118653237e-01,7.501110696305e-01,7.102192101694e+01,-8.133008232724e-01,-2.642104487127e-02,9.928510018319e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,2.013579558639e-04,1.722411322752e-04,2.647814698175e-05,-1.321052243563e-02
3.533789333375e-01,-3.533789333375e-01,-7.071067811865e-01,7.071067811865e-01,7.103642518049e+01,-7.842924961552e-01,-7.012482326660e-03,9.930655391511e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,5.253840681540e-05,4.694377091049e-05,7.040448876609e-06,-3.506241163330e-03
3.748704675493e-01,-3.304927739193e-01,-7.501110696305e-01,6.613118653237e-01,7.105064194370e+01,-7.558589697516e-01,9.062072033525e-03,9.932771123009e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,-5.711523496532e-05,-7.073164032526e-05,9.084721853357e-06,4.531036016762e-03
3.948825592877e-01,-3.063023105103e-01,-7.901550123757e-01,6.129070536530e-01,7.106441637220e+01,-7.283101127376e-01,2.190068792362e-02,9.934831111986e-01,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,WALL,-1.314788006316e-04,-1.758773467908e-04,2.194327984409e-05,1.095034396181e-02
