step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
51,3,3.872596709e-11,1,1.138164865e-09,0.2086680195
52,3,3.963906075e-11,1,1.138884448e-09,0.2088326777
53,3,4.055980811e-11,1,1.139604442e-09,0.2089974657
54,3,4.148837875e-11,1,1.140324844e-09,0.2091623838
55,3,4.242496048e-11,1,1.141045643e-09,0.209327432
56,3,4.336974107e-11,1,1.14176681e-09,0.2094926105
57,3,4.432290723e-11,1,1.14248834e-09,0.2096579193
58,3,4.528466779e-11,1,1.143210228e-09,0.2098233585
59,3,4.625522908e-11,1,1.143932469e-09,0.2099889283
60,3,4.723479205e-11,1,1.144655061e-09,0.2101546287
61,3,4.822357392e-11,1,1.145378004e-09,0.2103204599
62,3,4.922178004e-11,1,1.146101295e-09,0.210486422
63,3,5.022962135e-11,1,1.146824934e-09,0.210652515
64,3,5.12473117e-11,1,1.147548919e-09,0.210818739
65,3,5.227505291e-11,1,1.148273249e-09,0.2109850943
66,3,5.331305378e-11,1,1.148997922e-09,0.2111515808
67,3,5.436151697e-11,1,1.14972294e-09,0.2113181986
68,3,5.542063557e-11,1,1.150448291e-09,0.211484948
69,3,5.649060434e-11,1,1.151173975e-09,0.2116518289
70,3,5.757160732e-11,1,1.151899991e-09,0.2118188415
71,3,5.866382232e-11,1,1.15262634e-09,0.2119859859
72,3,5.976743138e-11,1,1.15335302e-09,0.2121532622
73,3,6.088264267e-11,1,1.154080032e-09,0.2123206705
74,3,6.20096572e-11,1,1.154807374e-09,0.2124882109
75,3,6.314865184e-11,1,1.155535048e-09,0.2126558835
76,3,6.429976183e-11,1,1.156263052e-09,0.2128236884
77,3,6.546310329e-11,1,1.156991386e-09,0.2129916258
78,3,6.663873704e-11,1,1.157720051e-09,0.2131596956
79,3,6.78267344e-11,1,1.158449046e-09,0.2133278981
80,3,6.902715634e-11,1,1.159178371e-09,0.2134962332
81,3,7.024008872e-11,1,1.159908018e-09,0.2136647013
82,3,7.146562178e-11,1,1.160637985e-09,0.2138333022
83,3,7.270382703e-11,1,1.161368271e-09,0.2140020362
84,3,7.395478171e-11,1,1.162098877e-09,0.2141709034
85,3,7.521854664e-11,1,1.162829809e-09,0.2143399038
86,3,7.649516865e-11,1,1.163561102e-09,0.2145090375
87,3,7.778468435e-11,1,1.164292712e-09,0.2146783047
88,3,7.908712985e-11,1,1.165024638e-09,0.2148477055
89,3,8.040253408e-11,1,1.16575688e-09,0.21501724
90,3,8.173090078e-11,1,1.166489439e-09,0.2151869082
91,3,8.307223925e-11,1,1.167222313e-09,0.2153567103
92,3,8.442654436e-11,1,1.167955504e-09,0.2155266464
93,3,8.579380414e-11,1,1.168689011e-09,0.2156967166
94,3,8.717400857e-11,1,1.169422834e-09,0.215866921
95,3,8.856711571e-11,1,1.170156973e-09,0.2160372597
96,3,8.997311115e-11,1,1.170891429e-09,0.2162077329
97,3,9.139194266e-11,1,1.1716262e-09,0.2163783405
98,3,9.282356856e-11,1,1.172361288e-09,0.2165490828
99,3,9.426793273e-11,1,1.173096693e-09,0.2167199598
100,3,9.572498594e-11,1,1.173832414e-09,0.2168909716
101,3,9.719465331e-11,1,1.174568451e-09,0.2170621184
102,3,9.867687632e-11,1,1.175304805e-09,0.2172334002
