step,inner_iterations,linear_residual_ratio,converged,min_dtau,max_dtau
217,3,4.954252714e-08,1,8.072029917e-07,0.254715939
218,3,4.940669202e-08,1,8.084250714e-07,0.2549973752
219,3,4.994616433e-08,1,8.091773102e-07,0.2552791224
220,3,5.112019187e-08,1,8.099939116e-07,0.2555611808
221,3,5.282336425e-08,1,8.108718404e-07,0.2558435509
222,3,5.561253737e-08,1,8.118027906e-07,0.256126233
223,3,5.938604365e-08,1,8.127821186e-07,0.2564092274
224,3,6.374147836e-08,1,8.138109071e-07,0.2566925345
225,3,6.855121715e-08,1,8.148939314e-07,0.2569761546
226,3,7.365735971e-08,1,8.160286962e-07,0.2572600881
227,3,7.872277434e-08,1,8.172089517e-07,0.2575443354
228,3,8.334126576e-08,1,8.184383697e-07,0.2578288967
229,3,8.705457512e-08,1,8.197163531e-07,0.2581137724
230,3,8.929645011e-08,1,8.210407468e-07,0.2583989628
231,3,8.971975738e-08,1,8.224121487e-07,0.2586844684
232,3,8.832798672e-08,1,8.238260984e-07,0.2589702894
233,3,8.514710287e-08,1,8.246817167e-07,0.2592564262
234,3,8.061717529e-08,1,8.254287077e-07,0.2595428792
235,3,7.531797088e-08,1,8.262149005e-07,0.2598296487
236,3,7.006032264e-08,1,8.268196129e-07,0.260116735
237,3,6.544709603e-08,1,8.274026518e-07,0.2604041386
238,3,6.180023226e-08,1,8.280367213e-07,0.2606918597
239,3,5.93217781e-08,1,8.287247121e-07,0.2609798986
240,3,5.78651032e-08,1,8.294675048e-07,0.2612682559
241,3,5.738869476e-08,1,8.302609481e-07,0.2615569318
242,3,5.7671948e-08,1,8.311051421e-07,0.2618459266
243,3,5.858871892e-08,1,8.319996556e-07,0.2621352407
244,3,6.016576281e-08,1,8.329439089e-07,0.2624248745
245,3,6.253869008e-08,1,8.339365364e-07,0.2627148283
246,3,6.62622327e-08,1,8.349381578e-07,0.2630051025
247,3,7.070145162e-08,1,8.354700761e-07,0.2632956974
248,3,7.574025396e-08,1,8.360685077e-07,0.2635866133
249,3,8.122406691e-08,1,8.367842615e-07,0.2638778507
250,3,8.679081961e-08,1,8.37599114e-07,0.26416941
251,3,9.199568128e-08,1,8.384690517e-07,0.2644612913
252,3,9.63987654e-08,1,8.393855798e-07,0.2647534951
253,3,9.928896165e-08,1,8.403441898e-07,0.2650460218
254,3,1.004020622e-07,1,8.413488763e-07,0.2653388718
255,3,9.934685217e-08,1,8.424025232e-07,0.2656320452
256,3,9.62268577e-08,1,8.435059458e-07,0.2659255427
257,3,9.171674286e-08,1,8.446608452e-07,0.2662193644
258,3,8.631037893e-08,1,8.458681838e-07,0.2665135107
259,3,8.067063547e-08,1,8.471155068e-07,0.2668079821
260,3,7.576575267e-08,1,8.484034419e-07,0.2671027788
261,3,7.163700171e-08,1,8.497333066e-07,0.2673979012
262,3,6.891493856e-08,1,8.51109133e-07,0.2676933497
263,3,6.727481074e-08,1,8.522033087e-07,0.2679891247
264,3,6.668152024e-08,1,8.529967879e-07,0.2682852264
265,3,6.686634937e-08,1,8.538258506e-07,0.2685816553
266,3,6.78193831e-08,1,8.545398998e-07,0.2688784118
267,3,6.933961351e-08,1,8.551918176e-07,0.2691754961
268,3,7.175696372e-08,1,8.558856465e-07,0.2694729087
269,3,7.564755462e-08,1,8.5662436e-07,0.2697706499
270,3,8.028820688e-08,1,8.574100634e-07,0.2700687201
271,3,8.548205514e-08,1,8.582439918e-07,0.2703671196
272,3,9.110221658e-08,1,8.591266474e-07,0.2706658488
273,3,9.681182613e-08,1,8.600577151e-07,0.2709649081
274,3,1.02124045e-07,1,8.610362144e-07,0.2712642978
275,3,1.064645366e-07,1,8.620605862e-07,0.2715640183
276,3,1.091919541e-07,1,8.63128672e-07,0.2718640699
277,3,1.100900223e-07,1,8.642377753e-07,0.2721644531
278,3,1.088621817e-07,1,8.654144848e-07,0.2724651682
279,3,1.057060967e-07,1,8.669339695e-07,0.2727662156
280,3,1.010080919e-07,1,8.677910889e-07,0.2730675955
281,3,9.531987123e-08,1,8.687044443e-07,0.2733693085
282,3,8.995316183e-08,1,8.696688928e-07,0.2736713548
283,3,8.515761062e-08,1,8.706813111e-07,0.2739737349
284,3,8.1413828e-08,1,8.717369622e-07,0.2742764491
285,3,7.905824616e-08,1,8.728360454e-07,0.2745794977
286,3,7.772639619e-08,1,8.739783655e-07,0.2748828812
287,3,7.746822232e-08,1,8.751663234e-07,0.2751865999
288,3,7.78805264e-08,1,8.764002023e-07,0.2754906541
289,3,7.913200211e-08,1,8.776783521e-07,0.2757950443
290,3,8.08268915e-08,1,8.789997286e-07,0.2760997709
291,3,8.368287941e-08,1,8.80363851e-07,0.2764048341
292,3,8.814680764e-08,1,8.817667021e-07,0.2767102344
293,3,9.332899533e-08,1,8.827856014e-07,0.2770159721
294,3,9.913135598e-08,1,8.836221718e-07,0.2773220477
295,3,1.052837501e-07,1,8.844922854e-07,0.2776284614
296,3,1.113347421e-07,1,8.851872922e-07,0.2779352137
297,3,1.168284945e-07,1,8.858881999e-07,0.2782423049
298,3,1.209370346e-07,1,8.866317762e-07,0.2785497354
299,3,1.232608747e-07,1,8.87424546e-07,0.2788575056
300,3,1.233452818e-07,1,8.882678145e-07,0.2791656158
301,3,1.210287382e-07,1,8.891618903e-07,0.2794740665
302,3,1.170796169e-07,1,8.901074025e-07,0.279782858
303,3,1.117062254e-07,1,8.910988975e-07,0.2800919907
304,3,1.057903658e-07,1,8.921326337e-07,0.2804014649
305,3,1.002590875e-07,1,8.931697227e-07,0.2807112811
306,3,9.5513481e-08,1,8.937099622e-07,0.2810214396
307,3,9.194647535e-08,1,8.944169245e-07,0.2813319408
308,3,8.994843297e-08,1,8.952257451e-07,0.2816427851
309,3,8.887822273e-08,1,8.961241949e-07,0.2819539728
310,3,8.882564739e-08,1,8.970717773e-07,0.2822655043
311,3,8.958528465e-08,1,8.980616958e-07,0.2825773801
312,3,9.090513934e-08,1,8.99091101e-07,0.2828896004
313,3,9.274891961e-08,1,9.001618189e-07,0.2832021658
314,3,9.608222735e-08,1,9.01276083e-07,0.2835150764
315,3,1.008772122e-07,1,9.02433745e-07,0.2838283329
316,3,1.06420954e-07,1,9.036346633e-07,0.2841419354
317,3,1.125889086e-07,1,9.048779546e-07,0.2844558844
318,3,1.190547857e-07,1,9.06158835e-07,0.2847701803
319,3,1.254150048e-07,1,9.074813161e-07,0.2850848235
