step,physical_time,inner_iterations,inner_residual_ratio,converged,initial_inner_residual,final_inner_residual
125,1.25,24,9.776110395e-05,1,0.002036848653,1.991245729e-07
126,1.26,24,9.968413399e-05,1,0.001983533358,1.97726805e-07
127,1.27,25,9.591118249e-05,1,0.001931639234,1.85265803e-07
128,1.28,25,9.757111937e-05,1,0.001881268135,1.835574378e-07
129,1.29,25,9.91807409e-05,1,0.001832458019,1.81744544e-07
130,1.3,26,9.556952872e-05,1,0.001785265693,1.706170009e-07
131,1.31,26,9.696323268e-05,1,0.001739801093,1.686967382e-07
132,1.32,26,9.830873886e-05,1,0.001696191693,1.667504662e-07
133,1.33,26,9.969779994e-05,1,0.001654507261,1.649507339e-07
134,1.34,27,9.597402986e-05,1,0.001614696271,1.549689082e-07
135,1.35,27,9.714440332e-05,1,0.001576574446,1.531553839e-07
136,1.36,27,9.831052177e-05,1,0.001539868058,1.513852323e-07
137,1.37,27,9.958870504e-05,1,0.001504285116,1.498098067e-07
138,1.38,28,9.578859046e-05,1,0.001469585034,1.407694789e-07
139,1.39,28,9.701995393e-05,1,0.001435627561,1.392845198e-07
140,1.4,28,9.83232097e-05,1,0.001402394993,1.378879769e-07
141,1.41,28,9.978015882e-05,1,0.001369988867,1.366977067e-07
142,1.42,29,9.605831059e-05,1,0.001338601539,1.285838024e-07
143,1.43,29,9.744443574e-05,1,0.001308464572,1.275025919e-07
144,1.44,29,9.884639021e-05,1,0.001279782244,1.26501855e-07
145,1.45,30,9.504899703e-05,1,0.001252666574,1.190647014e-07
146,1.46,30,9.631829244e-05,1,0.001227094323,1.181916298e-07
147,1.47,30,9.75846501e-05,1,0.001202900712,1.173846451e-07
148,1.48,30,9.892488013e-05,1,0.001179811162,1.167126778e-07
149,1.49,31,9.506574486e-05,1,0.001157497706,1.100383816e-07
150,1.5,31,9.629718068e-05,1,0.001135638551,1.093587907e-07
151,1.51,31,9.756818309e-05,1,0.001113962442,1.086872915e-07
152,1.52,31,9.895814959e-05,1,0.001092269872,1.080890054e-07
153,1.53,32,9.520186071e-05,1,0.001070434798,1.019073845e-07
154,1.54,32,9.655648476e-05,1,0.001048396721,1.01229502e-07
155,1.55,32,9.796839385e-05,1,0.001026151752,1.00530439e-07
156,1.56,32,9.950040172e-05,1,0.001003745767,9.987310707e-08
157,1.57,33,9.585260948e-05,1,0.0009812676706,9.405706683e-08
158,1.58,33,9.731513118e-05,1,0.0009588383416,9.330947899e-08
159,1.59,33,9.880506388e-05,1,0.0009365945692,9.254028623e-08
160,1.6,34,9.514038989e-05,1,0.0009146699389,8.702205461e-08
161,1.61,34,9.653684e-05,1,0.0008931778996,8.622457199e-08
162,1.62,34,9.794365173e-05,1,0.0008722017493,8.542662437e-08
163,1.63,34,9.941355129e-05,1,0.0008517937191,8.467983859e-08
164,1.64,35,9.566090975e-05,1,0.0008319815069,7.958810785e-08
165,1.65,35,9.698442417e-05,1,0.000812777937,7.882680021e-08
166,1.66,35,9.830588669e-05,1,0.0007941891414,7.807346774e-08
167,1.67,35,9.968040481e-05,1,0.0007762184666,7.737377097e-08
168,1.68,36,9.58145621e-05,1,0.0007588650316,7.27103207e-08
169,1.69,36,9.704142705e-05,1,0.000742119219,7.201630805e-08
170,1.7,36,9.826322218e-05,1,0.00072595782,7.133495456e-08
171,1.71,36,9.953506397e-05,1,0.0007103413073,7.070386746e-08
172,1.72,37,9.558130855e-05,1,0.0006952153977,6.644959744e-08
173,1.73,37,9.673152122e-05,1,0.0006805163441,6.582738118e-08
174,1.74,37,9.78966654e-05,1,0.0006661784532,6.521664913e-08
175,1.75,37,9.91339633e-05,1,0.0006521416327,6.464938468e-08
176,1.76,38,9.519004631e-05,1,0.0006383566936,6.076520322e-08
177,1.77,38,9.636103102e-05,1,0.0006247875413,6.020517165e-08
178,1.78,38,9.756919403e-05,1,0.0006114105583,5.965483539e-08
179,1.79,38,9.886506674e-05,1,0.0005982126843,5.914233696e-08
180,1.8,39,9.499956721e-05,1,0.0005851898082,5.559277851e-08
181,1.81,39,9.625118514e-05,1,0.000572346379,5.508901729e-08
182,1.82,39,9.754436821e-05,1,0.0005596959871,5.459519145e-08
183,1.83,39,9.892207841e-05,1,0.0005472618595,5.413628057e-08
184,1.84,40,9.512031744e-05,1,0.0005350758736,5.089658695e-08
185,1.85,40,9.643442542e-05,1,0.0005231755484,5.045213341e-08
186,1.86,40,9.777326124e-05,1,0.0005115991932,5.002072157e-08
187,1.87,40,9.917348809e-05,1,0.0005003804522,4.962447481e-08
188,1.88,41,9.53540639e-05,1,0.0004895438277,4.667999342e-08
189,1.89,41,9.665000704e-05,1,0.0004791024275,4.6305253e-08
190,1.9,41,9.795319715e-05,1,0.0004690581477,4.594574522e-08
191,1.91,41,9.930232513e-05,1,0.0004594040331,4.561988866e-08
192,1.92,42,9.541522061e-05,1,0.0004501275898,4.294902329e-08
193,1.93,42,9.664990381e-05,1,0.0004412139897,4.264328966e-08
194,1.94,42,9.788583364e-05,1,0.0004326482721,4.235013679e-08
195,1.95,42,9.915839073e-05,1,0.0004244162591,4.208443325e-08
196,1.96,43,9.519400242e-05,1,0.0004165045933,3.964873926e-08
197,1.97,43,9.633905919e-05,1,0.0004089000493,3.939304605e-08
198,1.98,43,9.747309188e-05,1,0.0004015888076,3.914410274e-08
199,1.99,43,9.862870514e-05,1,0.0003945558413,3.891453173e-08
200,2,43,9.979186205e-05,1,0.0003877845866,3.869774597e-08
201,2.01,44,9.566554315e-05,1,0.0003812567954,3.647313841e-08
202,2.02,44,9.667138737e-05,1,0.0003749524938,3.624717777e-08
203,2.03,44,9.765644927e-05,1,0.0003688501733,3.602059824e-08
204,2.04,44,9.865660246e-05,1,0.0003629273535,3.580517964e-08
205,2.05,44,9.966274397e-05,1,0.0003571615721,3.559570232e-08
206,2.06,45,9.5395111e-05,1,0.0003515317564,3.353441092e-08
207,2.07,45,9.626375678e-05,1,0.0003460199272,3.330917811e-08
208,2.08,45,9.711759356e-05,1,0.0003406124306,3.307945959e-08
209,2.09,45,9.798913944e-05,1,0.0003353008687,3.285584358e-08
210,2.1,45,9.886672137e-05,1,0.0003300822966,3.263415445e-08
211,2.11,45,9.973976614e-05,1,0.0003249586762,3.241130237e-08
212,2.12,46,9.532945008e-05,1,0.000319935786,3.049930255e-08
213,2.13,46,9.605129853e-05,1,0.0003150218117,3.025825408e-08
214,2.14,46,9.674294524e-05,1,0.0003102259378,3.001217092e-08
215,2.15,46,9.74340636e-05,1,0.0003055570109,2.977166123e-08
216,2.16,46,9.811426554e-05,1,0.0003010226355,2.953461479e-08
217,2.17,46,9.877627563e-05,1,0.0002966284857,2.929985707e-08
218,2.18,46,9.941709729e-05,1,0.0002923779089,2.906736302e-08
219,2.19,47,9.479398623e-05,1,0.0002882717574,2.7326429e-08
220,2.2,47,9.529292198e-05,1,0.0002843083112,2.709256972e-08
221,2.21,47,9.577179702e-05,1,0.0002804833248,2.686239205e-08
222,2.22,47,9.626650244e-05,1,0.0002767901148,2.664561626e-08
223,2.23,47,9.677445669e-05,1,0.0002732197954,2.644069726e-08
224,2.24,47,9.729481439e-05,1,0.0002697617063,2.624641514e-08
225,2.25,47,9.78290897e-05,1,0.0002664040943,2.606207004e-08
226,2.26,47,9.83794811e-05,1,0.0002631350629,2.588709095e-08
227,2.27,47,9.894764119e-05,1,0.0002599437018,2.572081613e-08
228,2.28,47,9.953379132e-05,1,0.0002568211501,2.556238276e-08
229,2.29,48,9.488685212e-05,1,0.000253761402,2.407862062e-08
230,2.3,48,9.540196076e-05,1,0.0002507615792,2.392314634e-08
231,2.31,48,9.591702344e-05,1,0.0002478217686,2.377032639e-08
232,2.32,48,9.645443533e-05,1,0.000244944405,2.362597427e-08
233,2.33,48,9.699920745e-05,1,0.0002421331966,2.348672817e-08
234,2.34,48,9.753817619e-05,1,0.0002393921006,2.334986889e-08
235,2.35,48,9.806173738e-05,1,0.0002367244222,2.321360812e-08
236,2.36,48,9.856338189e-05,1,0.0002341323453,2.307687576e-08
237,2.37,48,9.903938604e-05,1,0.0002316166139,2.293916724e-08
238,2.38,48,9.948849061e-05,1,0.0002291765827,2.280043229e-08
239,2.39,48,9.991158352e-05,1,0.0002268104592,2.266099214e-08
240,2.4,49,9.505185898e-05,1,0.0002245155862,2.134062384e-08
241,2.41,49,9.534816844e-05,1,0.0002222886803,2.119481853e-08
242,2.42,49,9.562472774e-05,1,0.0002201259692,2.104948587e-08
243,2.43,49,9.591360299e-05,1,0.0002180231957,2.091139024e-08
244,2.44,49,9.621163423e-05,1,0.0002159756343,2.077936873e-08
245,2.45,49,9.651669741e-05,1,0.0002139782405,2.065247309e-08
246,2.46,49,9.682857994e-05,1,0.0002120254989,2.053012797e-08
247,2.47,49,9.714780701e-05,1,0.0002101117776,2.041189842e-08
248,2.48,49,9.74748613e-05,1,0.0002082317262,2.029735863e-08
249,2.49,49,9.780971978e-05,1,0.0002063806891,2.018603737e-08
250,2.5,49,9.815172146e-05,1,0.0002045551331,2.007743845e-08
251,2.51,49,9.849950808e-05,1,0.0002027529038,1.997106128e-08
252,2.52,49,9.88511398e-05,1,0.0002009732538,1.986643521e-08
253,2.53,49,9.920405255e-05,1,0.0001992168821,1.976312204e-08
254,2.54,49,9.955502292e-05,1,0.0001974855507,1.966067853e-08
255,2.55,49,9.990038752e-05,1,0.0001957818071,1.95586784e-08
256,2.56,50,9.497964981e-05,1,0.0001941086391,1.843637057e-08
257,2.57,50,9.522464193e-05,1,0.000192469147,1.83278056e-08
258,2.58,50,9.54479222e-05,1,0.0001908662318,1.821778525e-08
259,2.59,50,9.567208098e-05,1,0.0001893022847,1.811094352e-08
260,2.6,50,9.588730226e-05,1,0.0001877788606,1.800560836e-08
261,2.61,50,9.608637656e-05,1,0.0001862963692,1.790054309e-08
262,2.62,50,9.626601089e-05,1,0.0001848538194,1.779513979e-08
263,2.63,50,9.642614066e-05,1,0.0001834486699,1.768924725e-08
264,2.64,50,9.656941669e-05,1,0.000182076836,1.758305385e-08
265,2.65,50,9.670078898e-05,1,0.0001807329171,1.747701568e-08
266,2.66,50,9.682692235e-05,1,0.0001794106226,1.737177842e-08
267,2.67,50,9.695533053e-05,1,0.0001781033631,1.726807044e-08
268,2.68,50,9.709370293e-05,1,0.0001768050905,1.716666093e-08
269,2.69,50,9.724894728e-05,1,0.0001755108446,1.706824487e-08
270,2.7,50,9.742636372e-05,1,0.0001742174388,1.697337156e-08
271,2.71,50,9.762909149e-05,1,0.0001729237221,1.688238588e-08
272,2.72,50,9.785776818e-05,1,0.000171630658,1.679539314e-08
273,2.73,50,9.811051752e-05,1,0.0001703410655,1.671225009e-08
274,2.74,50,9.838321546e-05,1,0.0001690592304,1.663259069e-08
275,2.75,50,9.867006398e-05,1,0.0001677902434,1.655587405e-08
276,2.76,50,9.896419772e-05,1,0.0001665393812,1.648143625e-08
277,2.77,50,9.925855055e-05,1,0.000165311547,1.640858454e-08
278,2.78,50,9.954648152e-05,1,0.000164110854,1.63366581e-08
279,2.79,50,9.982235613e-05,1,0.0001629403787,1.626509251e-08
280,2.8,51,9.483205545e-05,1,0.000161802096,1.534402534e-08
281,2.81,51,9.50026797e-05,1,0.0001606968427,1.526663067e-08
282,2.82,51,9.514949179e-05,1,0.0001596244322,1.51881836e-08
283,2.83,51,9.529729463e-05,1,0.0001585838035,1.511260745e-08
284,2.84,51,9.544068705e-05,1,0.000157573138,1.503888855e-08
285,2.85,51,9.557649897e-05,1,0.0001565899906,1.496632308e-08
286,2.86,51,9.570429401e-05,1,0.0001556314198,1.489459516e-08
287,2.87,51,9.582501343e-05,1,0.0001546941269,1.482356679e-08
288,2.88,51,9.594003576e-05,1,0.0001537746054,1.475314114e-08
289,2.89,51,9.605050858e-05,1,0.0001528693043,1.468317443e-08
290,2.9,51,9.615700692e-05,1,0.0001519747886,1.46134408e-08
291,2.91,51,9.625934309e-05,1,0.0001510878675,1.454361887e-08
292,2.92,51,9.63564966e-05,1,0.000150205759,1.447330071e-08
293,2.93,51,9.644668317e-05,1,0.0001493261545,1.440201231e-08
294,2.94,51,9.652747636e-05,1,0.0001484473452,1.432924761e-08
295,2.95,51,9.65960571e-05,1,0.0001475682433,1.425451045e-08
296,2.96,51,9.664944253e-05,1,0.0001466884413,1.417735608e-08
297,2.97,51,9.668470779e-05,1,0.0001458082512,1.409742816e-08
298,2.98,51,9.66993193e-05,1,0.0001449285687,1.401449394e-08
299,2.99,51,9.669137445e-05,1,0.0001440507973,1.392846958e-08
300,3,51,9.665984802e-05,1,0.0001431766912,1.383943721e-08
301,3.01,51,9.660478129e-05,1,0.0001423081777,1.374765038e-08
302,3.02,51,9.652738455e-05,1,0.0001414471958,1.365352787e-08
303,3.03,51,9.643004331e-05,1,0.0001405955775,1.355763763e-08
304,3.04,51,9.631616134e-05,1,0.0001397549954,1.346066468e-08
305,3.05,51,9.618993482e-05,1,0.0001389269344,1.336337276e-08
306,3.06,51,9.605605065e-05,1,0.0001381127104,1.326656151e-08
307,3.07,51,9.591944367e-05,1,0.0001373134798,1.317103259e-08
308,3.08,51,9.578499813e-05,1,0.0001365302325,1.307754807e-08
309,3.09,51,9.565717484e-05,1,0.0001357637476,1.298677654e-08
310,3.1,51,9.553986196e-05,1,0.000135014529,1.289926946e-08
311,3.11,51,9.543627022e-05,1,0.0001342827352,1.281544341e-08
312,3.12,51,9.534885489e-05,1,0.0001335681344,1.273556867e-08
313,3.13,51,9.527936858e-05,1,0.0001328700578,1.265977521e-08
314,3.14,51,9.522886719e-05,1,0.0001321874207,1.258805833e-08
315,3.15,51,9.519770051e-05,1,0.0001315187996,1.25202873e-08
316,3.16,51,9.518558881e-05,1,0.0001308625386,1.245622779e-08
317,3.17,51,9.519168504e-05,1,0.0001302168749,1.239556374e-08
318,3.18,51,9.521455006e-05,1,0.0001295800758,1.233790861e-08
319,3.19,51,9.525240036e-05,1,0.0001289505614,1.22828505e-08
320,3.2,51,9.530295782e-05,1,0.000128327003,1.222994295e-08
321,3.21,51,9.536352585e-05,1,0.0001277084011,1.217872341e-08
322,3.22,51,9.543118049e-05,1,0.0001270941204,1.212874194e-08
323,3.23,51,9.550265958e-05,1,0.0001264838753,1.207954648e-08
324,3.24,51,9.557451036e-05,1,0.0001258777124,1.203070073e-08
325,3.25,51,9.564322018e-05,1,0.0001252759556,1.198179581e-08
326,3.26,51,9.570535279e-05,1,0.0001246791318,1.19324603e-08
327,3.27,51,9.575764016e-05,1,0.0001240878986,1.188236434e-08
328,3.28,51,9.579714725e-05,1,0.0001235029568,1.183123094e-08
329,3.29,51,9.582135261e-05,1,0.0001229249692,1.177883682e-08
330,3.3,51,9.582826413e-05,1,0.0001223544793,1.172501736e-08
331,3.31,51,9.581648359e-05,1,0.0001217918627,1.166966801e-08
332,3.32,51,9.578526347e-05,1,0.0001212372843,1.161274522e-08
333,3.33,51,9.573450181e-05,1,0.0001206906769,1.155426182e-08
334,3.34,51,9.566472723e-05,1,0.000120151751,1.149428448e-08
335,3.35,51,9.557705752e-05,1,0.0001196200232,1.143292984e-08
336,3.36,51,9.547309822e-05,1,0.0001190948599,1.137035526e-08
337,3.37,51,9.535478684e-05,1,0.0001185755331,1.130674468e-08
338,3.38,51,9.522429679e-05,1,0.000118061278,1.124230217e-08
339,3.39,51,9.508395736e-05,1,0.0001175513514,1.117724769e-08
340,3.4,51,9.493614403e-05,1,0.0001170450851,1.111180906e-08
341,3.41,51,9.478317784e-05,1,0.0001165419141,1.104621297e-08
342,3.42,50,9.986661272e-05,1,0.0001160414074,1.158866229e-08
343,3.43,50,9.976082233e-05,1,0.0001155432833,1.152669295e-08
344,3.44,50,9.966019805e-05,1,0.0001150474067,1.146564734e-08
345,3.45,50,9.954073898e-05,1,0.0001145537928,1.140276919e-08
346,3.46,50,9.941100962e-05,1,0.0001140626385,1.133908205e-08
347,3.47,50,9.9277813e-05,1,0.0001135741676,1.127539498e-08
348,3.48,50,9.91452967e-05,1,0.0001130887231,1.1212215e-08
349,3.49,50,9.901593385e-05,1,0.0001126067194,1.114985948e-08
350,3.5,50,9.889121076e-05,1,0.0001121286148,1.108853447e-08
351,3.51,50,9.877197472e-05,1,0.0001116549223,1.102837716e-08
352,3.52,50,9.865869629e-05,1,0.0001111861127,1.096947692e-08
353,3.53,50,9.855160939e-05,1,0.0001107225797,1.091188843e-08
